USERID	MENUID	ITEMID	MENUNAME	MENUCMD	MENUTYPE	RCDVERSION	CREATEDBY	DATECREATED	LASTUPDATEDBY	LASTUPDATED	AUTHTYPE	VISIBLE	ISSYSTEM	IS_SD	IS_SA	IS_SAP	IS_PU	IS_PUP	IS_IN	IS_INP	IS_GL	IS_GLP	IS_BA	IS_SE	IS_SO	IS_FU	IS_FUP	IS_FI	IS_FIP	IS_PR	IS_PRP	IS_PA	IS_PAP	IS_HU	IS_HUP	IS_GE
SYSADMIN	xxx_rpt	4.0	Business Partners	xxx_bp	M	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_rpt	5.0	Banking	xxx_bank	M	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_rpt	6.0	Inventory	xxx_inv	M	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales	1.0	Aging	sysRptxxx_aging	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales	2.0	Sales Book	sysRptxxx_sb	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales	3.0	Sales Analysis	sysRptxxx_sales_analysis	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales	8.0	Sales and Receivables Journal	sysRptxxx_sr_tj	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales	9.0	Listings	xxx_sales_l	M	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales_l	1.0	Sales Quotation List Report	sysRptxxx_salesquotation_list	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales_l	2.0	Sales Order List Report	sysRptxxx_salesorder_list	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales_l	3.0	Sales Delivery List Report	sysRptxxx_salesdelivery_list	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales_l	4.0	Sales Return List Report	sysRptxxx_salesreturn_list	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales_l	5.0	A/R Invoice List Report	sysRptxxx_arinvoice_list	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYSADMIN	xxx_sales_l	6.0	A/R Credit Memo List Report	sysRptxxx_arcreditmemo_list	P	1	manager	2012-06-20 08:56:43	manager	2012-06-20 08:56:43	F	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
